10000002	['100108976', '100108974', '100102450', '100105969', '100030963', '100013651', '100023604', '100032434', '100072703', '100032941', '100103881', '100005079', '100111115', '100006850', '100106006', '100027371', '100102035', '100078542', '100031024', '100007789', '100104692', '100103424', '100103422', '100066846', '100104594', '100083508', '100105108', '100103191', '100110861', '100062710', '100017874', '100000425', '100027859', '100102915', '100075743', '100026359', '100027996', '100103453', '100037378', '100033140', '100102275', '100105208', '100008230', '100033757', '100004223', '100102676', '100102674', '100034273', '100032714', '100103604', '100102001', '100102000', '100023319', '100105568', '100102412', '100102004', '100102009', '100102008', '100033392', '100102419', '100018270', '100007352', '100010797', '100019280', '100105339', '100082781', '100102480', '100102483', '100102179', '100031772', '100093390', '100022969', '100103070', '100030689', '100103076', '100018392', '100037130', '100104418', '100022668', '100013728', '100104799', '100102095', '100104002', '100042579', '100062996', '100032873', '100105921', '100027718', '100105021', '100105438', '100001919', '100103481', '100101996', '100060547', '100102958', '100102894', '100102953', '100004624', '100102955', '100032122', '100028554', '100104706', '100103416', '100104317', '100105654', '100002368', '100105652', '100030226', '100036994', '100047506', '100103327', '100068365', '100031806', '100035408', '100072340', '100032757', '100104178', '100102825', '100031609', '100013544', '100004712', '100102820', '100104670', '100104672', '100104958', '100104893', '100104956', '100027047', '100102288', '100102124', '100043135', '100006386', '100106159', '100002799', '100102550', '100032638', '100096831', '100004350', '100103091', '100064136', '100102603', '100102600', '100002669', '100103730', '100006690', '100002126', '100013482', '100044418', '100102198', '100019028', '100102252', '100104097', '100103933', '100030010', '100082611', '100046448', '100102997', '100020621', '100022650', '100015523', '100098987', '100014749', '100062808', '100104580', '100105972', '100111075', '100009023', '100102756', '100003110', '100031649', '100031642', '100017867', '100025993', '100103681', '100103561', '100028295', '100097165', '100103705', '100019364', '100103708', '100009625', '100041814', '100009629', '100102769', '100082540', '100102647', '100070004', '100096769', '100103365', '100006279', '100090113', '100102545', '100102015', '100102548', '100053901', '100035914', '100106183', '100033120', '100019660', '100025279', '100107198', '100031587', '100102497', '100007828', '100041867', '100031465', '100002693', '100012670', '100082263', '100031468', '100105947', '100102331', '100005449', '100104780', '100033235', '100104541', '100103945', '100102547', '100104018', '100030343', '100024877', '100068051', '100105788', '100102422', '100030181', '100102425', '100063733', '100062946', '100029839', '100000694', '100022353', '100104265', '100032297', '100029938', '100097125', '100088493', '100030330', '100105164', '100095368', '100032166', '100104282', '100033520', '100000444', '100006594', '100102932', '100102934', '100032060', '100076184', '100013990', '100104769', '100026273', '100103534', '100103124', '100080443', '100102296', '100095290', '100019231', '100031906', '100104849', '100102054', '100098546', '100102593', '100102619', '100030650', '100102597', '100102615', '100102754', '100102204', '100025836', '100049327', '100104116', '100095078', '100036721', '100102181', '100032454', '100006325', '100071887', '100031264', '100097706', '100063007', '100103777', '100078388', '100105460', '100037670', '100034105', '100018597', '100068159', '100064219', '100014738', '100102506', '100006873', '100102051', '100002228', '100106215', '100102982', '100095772', '100031002', '100003282', '100072613', '100104028', '100104020', '100067969', '100105043', '100031741', '100033919', '100040534', '100103176', '100104939', '100013292', '100088203', '100020049', '100102972', '100023802', '100029631', '100103579', '100060281', '100103471', '100000828', '100103599', '100102781', '100028301', '100072974', '100008253', '100102789', '100105221', '100105222', '100028835', '100102658', '100029653', '100029557', '100104158', '100102535', '100102538', '100025448', '100096999', '100007376', '100033131', '100030899', '100103392', '100096994', '100103394', '100005156', '100027746', '100103220', '100005398', '100102258', '100102626', '100103098', '100102159', '100001068', '100082748', '100102326', '100102327', '100000616', '100025485', '100104477', '100084370', '100050598', '100041454', '100104576', '100030698', '100105558', '100065234', '100079832', '100086476', '100037748', '100102430', '100028658', '100041733', '100102417', '100021638', '100024468', '100106199', '100018325', '100045621', '100064636', '100104274', '100104272', '100033350', '100046433', '100105393', '100105178', '100037298', '100104298', '100104292', '100104293', '100017392', '100032778', '100002926', '100029694', '100028874', '100016136', '100102920', '100000724', '100008857', '100104206', '100109831', '100000187', '100102261', '100007332', '100030851', '100103822', '100103824', '100081260', '100104854', '100103296', '100031854', '100102584', '100001895', '100102662', '100102743', '100102216', '100029666', '100071616', '100102218', '100072698', '100105850', '100001730', '100078479', '100102565', '100067312', '100022551', '100072148', '100037063', '100105458', '100031769', '100102109', '100102065', '100019886', '100027155', '100103982', '100020603', '100017153', '100104402', '100103963', '100104035', '100106296', '100105527', '100070293', '100102364', '100103144', '100032666', '100106184', '100018312', '100088782', '100103542', '100032132', '100104245', '100016065', '100103548', '100015591', '100102968', '100030543', '100104328', '100103642', '100103643', '100025775', '100096783', '100008565', '100000267', '100026097', '100103306', '100016052', '100063059', '100104147', '100104880', '100104142', '100104666', '100001397', '100103263', '100104927', '100053431', '100007369', '100106160', '100029039', '100007249', '100102682', '100102529', '100008667', '100028925', '100103720', '100103383', '100037992', '100103080', '100103085', '100102225', '100011008', '100103089', '100102223', '100031685']
10000006	['100054429', '100006386', '100102538', '100009091', '100000722', '100000075', '100031854', '100005113', '100033603', '100008009', '100023802', '100017867', '100103091', '100002368', '100001730', '100027371', '100022806', '100006690', '100029039', '100011945', '100042311', '100008230', '100015327', '100088782', '100003282', '100011294', '100045976', '100102717', '100016052', '100006873', '100060150', '100068372']
10000007	['100027859', '100027424', '100001730']
1000001	['100033443', '100033246', '100007828', '100023802', '100095772', '100017178', '100105849', '100106283', '100027424', '100023538', '100064325', '100005156', '100001280', '100006690']
10000016	['100008401', '100010363', '100001238', '100007518', '100009550', '100005361', '100006204', '100008802', '100010797']
10000018	['100037992', '100008072']
1000003	['100008668', '100003282', '100000032', '100027424']
10000033	['100008710', '100008672', '100008734']
10000036	['100011309', '100023745', '100103483', '100007117', '100068111', '100104018', '100021638', '100008409', '100002874', '100032732', '100009887', '100000359', '100018270', '100025020', '100063107', '100023538', '100070334', '100010797', '100025197', '100010854', '100073620', '100099002', '100001085', '100007662', '100102721', '100033980', '100031390', '100105467', '100018947', '100084000', '100023802', '100013104', '100001536', '100011294', '100027046', '100059960', '100027273', '100104666', '100000533', '100014497', '100027424', '100001924', '100063685', '100021623', '100008270', '100103712', '100074928', '100001730', '100106372', '100006391', '100008880', '100036481', '100083878', '100004382', '100005724', '100030612', '100025279', '100007140', '100018039', '100016119', '100045976', '100019294', '100000724', '100017739', '100001360', '100008857', '100060820', '100103445', '100003449', '100004534', '100011101', '100002658', '100103379', '100015469']
1000004	['100008270', '100033083', '100103963', '100006386', '100023651', '100001895', '100060281', '100045297', '100103383', '100066784', '100010797', '100098546', '100027424']
